3.49	4.4	1.9
2.64	4.833333	1.7
1.69	5.5	1.7
1.79	5.7	1.5
1.7	5.833333	1.6
1.63	5.733333	1.9
1.19	5.866667	1.7
1.13	5.866667	1.7
0.92	6.133333	1.4
0.94	6.133333	1.3
0.9	5.833333	1.4
0.94	5.7	1.7
1.27	5.6	2
1.65	5.433333	2
2.19	5.433333	2.1
2.74	5.3	2.2
2.97	5.1	2.1
3.42	4.966667	2.1
3.89	4.966667	2.2
4.51	4.733333	2.1
4.79	4.633333	2.3
4.81	4.633333	2.5
4.85	4.433333	2.3
4.94	4.5	2.4
4.61	4.5	2.1
3.89	4.666667	2
3	4.8	2.3
1.26	5	2.1
1.86	5.333333	2.2
1.13	6	2.2
0.03	6.866667	1.6
0.21	8.266667	1.1
0.18	9.3	1.1
0.12	9.633333	0.9
0.05	9.933333	1.5
0.15	9.833333	1.7
0.12	9.633333	1.5
0.15	9.466667	1.3
0.14	9.5	0.9
0.1	9.033333	1.1
0.04	9.066667	1.5
0.01	9	1.8
0.01	8.633333	1.9
0.08	8.266667	2.1
0.09	8.2	1.9
0.11	8.033333	1.7
0.07	7.8	1.8
0.09	7.733333	1.5
0.05	7.533333	1.4
0.02	7.233333	1.5
0.07	6.933333	1.6
0.05	6.666667	1.5
0.04	6.233333	1.7
0.02	6.1	1.7
0.03	5.7	1.5
0.03	5.566667	1.4
0.02	5.4	1.3
0.02	5.1	1.3
0.23	5	1.2
0.29	4.933333	1.5
0.27	4.866667	1.6
0.29	4.933333	1.7
0.51	4.733333	1.8
0.74	4.666667	1.8
0.98	4.333333	1.6
1.03	4.3	1.5
1.32	4.1	1.6
